0 1 2
1074724681830277120 8 1440
1074723542741192704 51645 356210
1074407721313669120 50 7625
1074399418365947904 20 2213
1074394859061022720 0 19
1074101036971950083 3 1543
1074098239257874437 0 25
1074097975364849665 0 9
1074075330913148928 2 46
1074061147639345157 1391 0
1074061116966428672 0 173
1074045333951430656 2 183
1074015905804443648 2 807
1074010916683948033 9 2723
1074008012623372294 3038 48246
1073666026615787521 27 3356
1073436114155958276 1 328
1073412461355765761 18361 134605
1073349197561298947 14 508
1073329715476340738 22 606
1073262020999430145 15303 112273
1073035054782300160 34258 0
1072926822948634624 80 2962
1072922208077533184 1190 16116
1072895754996457472 0 23
1072865015085060096 37 1779
1072829630325899266 1 25
1072687849953222656 1 299
1072659991679647745 1238 37354
1072626863720333314 51 3127
1072625191438741506 35 3564
1072624593196732422 50 4250
1072571572446216196 0 3
1072555978451812354 2 8
1072554774355173378 2 135
1072554016930971657 7912 86517
1072330162841247745 12 352
1072325554664280069 1 39
1072322340996964353 16 570
1072308860508086275 13 1161
1072307968073437184 12007 115414
1072246503568216064 2 588
1072246428704169984 0 3
1072184523742437381 16 2270
1072181596235677697 10 2062
1072181384373039108 61 4060
1072177942401376256 13766 123584
1072169453641715714 1 375
1071911102609539079 1 21
1071911004722917376 1 248
1071898204550115328 1 82
1071829255976353793 0 3
1071654157457735680 0 16
1071618168467177472 16352 0
1071541437668442112 0 8
1071540384789131264 1029 11715
1071536296240340992 1 69
1071535883411709954 0 67
1071495632601395200 1 441
1071486708334686208 0 22
1071483663500627973 2 97
1071482058072039427 0 14
1071480467835236352 0 49
1071459237908361216 0 2
1071426895743500293 0 27
1071426601542434824 0 122
1071289187859619840 0 6
1071232623140311041 10 367
1071211442597179392 13 1212
1071210208049938432 6 1146
1071209367846961153 20423 130749
1071137104535674882 0 5
1071125785837215744 0 39
1071098656735064065 0 41
1071095446830006272 0 3
1071085139470508032 0 8
1070847864971124743 4194 44369
1070708144123338753 0 6
1070708095289053184 0 2
1070684033095487488 2487 9750
1070683709483954176 0 234
1070683379585175552 0 5
1070545865524293632 2 410
1070435712078618624 3 706
1070417748528914432 0 24
1070413496494555137 28127 216391
1070398902292090882 6 250
1070120857698226177 10176 88155
1070071278411935746 0 40
1070011800224219136 18089 140914
1069785000508342272 536 5973
1069754325642199043 1 5
1069719435001380865 1 11
1069694942879117312 1 10
1069689838599839744 15799 122797
1069426021085192192 75474 0
1069360695249125376 0 4
1069352496303357952 10 980
1069340378325819393 5 37
1069339103743930369 6 646
1069336755164405760 12 507
1069335748611051528 4216 49117
1069023680452284416 119 2105
1069010145718517760 1 522
1069009819691044865 8965 79073
1068985647929745409 0 3
1068951531163172867 0 3
1068934665116020742 0 3
1068654291907477504 2 289
1068644836104912896 0 168
1068642176500940802 1351 18807
1068635803537104896 0 108
1068601514875383808 0 3
1068553887370625026 2 345
1068549276186435585 22 1346
1068547517069983744 4061 39486
1068494330808147968 6 452
1068250400120340480 0 1
1068193901809491968 1 956
1068191556715405312 0 40
1068191181148958725 36923 238424
1068171489315311617 0 0
1067955340530970624 54852 0
1067954871087833088 10 143
1067943827015643136 0 11
1067941196532719617 14 311
1067857272846598146 0 12
1067855791670083585 9 118
1067837652722946048 18 1595
1067836167595409408 17803 148504
1067826581727531008 1 58
1067806734754988032 0 5
